Product_name,Product_Brand,Product_Image,Product_Price,Product_Reviews,Product_Rating,output
"Replay Full Sleeves White Shirt with Regular Collar Casual/Formal Shirt | 100% Cotton Fabric, Full Sleeve, Regular Collar Shirt for Men, Regular Fit",KINGDOM OF WHITE,https://m.media-amazon.com/images/I/61qKBlv1H6L._AC_UL320_.jpg,1199,,,shirt
"Wave Full Sleeves White Formal Shirt with Regular Collar | Cotton Stretch Fabric, Full Sleeve, Regular Collar Shirt for Men, Slim Fit",KINGDOM OF WHITE,https://m.media-amazon.com/images/I/41lBhxltL+L._AC_UL320_.jpg,1599,,,shirt
Men's Cotton Full Sleeve Slim Fit Casual Solid Shirt,Urbano Fashion,https://m.media-amazon.com/images/I/61NuvgzMdSL._AC_UL320_.jpg,749,,,shirt
White Solid Cotton Full Sleeves Casual Shirt for Men II Stylish Shirt for Men II Exclusive Latest Men Casual Shirt II Luxury Shirts || Branded White Shirt for Men ||,SHIRT THEORY,https://m.media-amazon.com/images/I/515SAzqW7tS._AC_UL320_.jpg,839,14,3.7,shirt
Men's Solid Slim Fit Cotton Casual Shirt with Spread Collar & Full Sleeves,Dennis Lingo,https://m.media-amazon.com/images/I/61XzMtVz3PL._AC_UL320_.jpg,569,29994,3.8,shirt
Men's Regular Casual Shirt,Amazon Brand - Symbol,https://m.media-amazon.com/images/I/71hojiKnfML._AC_UL320_.jpg,549,6165,3.8,shirt
Men's Regular Fit Formal Shirt,Diverse,https://m.media-amazon.com/images/I/710+M61cX4L._AC_UL320_.jpg,539,27021,3.9,shirt
Slim Fit Cotton Blend Formal Shirts for Men,Majestic Man,https://m.media-amazon.com/images/I/61XnPWdRAWL._AC_UL320_.jpg,399,148,4.0,shirt
Men Casual Shirts,Dennis Lingo,https://m.media-amazon.com/images/I/61YQd1wdQBL._AC_UL320_.jpg,499,18589,4.0,shirt
Men Casual Shirt,Diverse,https://m.media-amazon.com/images/I/512pBZ7L-JL._AC_UL320_.jpg,809,1154,3.6,shirt
Men's Long Sleeve Casual Denim Shirt (SIGDENIM),Miraan,https://m.media-amazon.com/images/I/81uTb5UwUgL._AC_UL320_.jpg,569,522,3.7,shirt
Men's Checkered Slim Fit Cotton Casual Shirt,Dennis Lingo,https://m.media-amazon.com/images/I/61DGAlvxRLL._AC_UL320_.jpg,610,2478,3.9,shirt
Slim Fit Cotton Blend Casual Shirt for Men,Majestic Man,https://m.media-amazon.com/images/I/515RjsJc6WL._AC_UL320_.jpg,399,114,4.0,shirt
Men Casual Shirt,Amazon Brand - Inkast Denim Co.,https://m.media-amazon.com/images/I/71ssF1s7V1L._AC_UL320_.jpg,709,16060,4.0,shirt
Casual Shirt for Men|| Shirt for Men|| Men Stylish Shirt || Men Printed Shirt (Mistry),Lymio,https://m.media-amazon.com/images/I/71MaGTXl7ML._AC_UL320_.jpg,349,428,4.4,shirt
Men Casual Shirt,Amazon Brand - Symbol,https://m.media-amazon.com/images/I/71K4ZJCCdzL._AC_UL320_.jpg,559,5815,3.9,shirt
Men Shirt,Van Heusen Sport,https://m.media-amazon.com/images/I/81Ee0TWc74L._AC_UL320_.jpg,999,43,4.1,shirt
Men's Straight Fit Shirt,Allen Solly,https://m.media-amazon.com/images/I/61b1igoMwUL._AC_UL320_.jpg,783,254,3.8,shirt
Men's Solid Slim Fit Casual Shirt,Dennis Lingo,https://m.media-amazon.com/images/I/51S9v8rDrNL._AC_UL320_.jpg,499,11641,3.9,shirt
Men's Slim Fit Shirt,The Indian Garage Co,https://m.media-amazon.com/images/I/71qDChR6lYL._AC_UL320_.jpg,630,7,3.9,shirt
Cotton Shirt for Men | Casual Full Sleeves Cotton Shirt,Red Tape,https://m.media-amazon.com/images/I/61Eg11QssAL._AC_UL320_.jpg,1294,,,shirt
"Men's Button Up Regular Fit Shirt for Casual Wear | Modern Clothing Shirt Crafted with Comfort Fit, High-Performance & Regular Sleeve for Everyday Wear",Instafab,https://m.media-amazon.com/images/I/71u1lEc5mvL._AC_UL320_.jpg,949,,,shirt
Dark Brown Shirts,Parx,https://m.media-amazon.com/images/I/71kmQfjJmoL._AC_UL320_.jpg,779,,,shirt
Men Blue Oxford Weave Plaid Check Cotton Casual Shirt,U.S. POLO ASSN.,https://m.media-amazon.com/images/I/71ZxKNU2SkL._AC_UL320_.jpg,1648,,,shirt
Men's Checkered Slim fit Casual Shirt,Dennis Lingo,https://m.media-amazon.com/images/I/71Bo9OtlEtL._AC_UL320_.jpg,599,4852,4.0,shirt
Checks Cotton Blend Slim Fit Mens Casual Shirt (S22WMSH003159WH-P),Wrangler,https://m.media-amazon.com/images/I/71+M578GUXL._AC_UL320_.jpg,710,,,shirt
Casual Shirt for Men|| Shirt for Men|| Men Stylish Shirt || Men Printed Shirt (Shed Floral),Lymio,https://m.media-amazon.com/images/I/7181NjMrq-L._AC_UL320_.jpg,349,528,4.3,shirt
Men Shirt,Arrow,https://m.media-amazon.com/images/I/810t6NMf79L._AC_UL320_.jpg,989,,,shirt
Men's Slim Fit Shirt,Allen Solly,https://m.media-amazon.com/images/I/71T3EQknkBL._AC_UL320_.jpg,734,12309,3.7,shirt
Men's Shirt,Dennis Lingo,https://m.media-amazon.com/images/I/61GCysaiXgL._AC_UL320_.jpg,499,2739,4.0,shirt
Slim Fit Cotton Casual Check Shirt for Men,Majestic Man,https://m.media-amazon.com/images/I/715pbgxBXzL._AC_UL320_.jpg,449,765,3.9,shirt
Casual Shirt for Men|| Shirt for Men|| Men Stylish Shirt || Men Printed Shirt (Karrey),Lymio,https://m.media-amazon.com/images/I/71dInK15s1L._AC_UL320_.jpg,349,221,4.3,shirt
Men Shirt,Arrow,https://m.media-amazon.com/images/I/81uVWMG6qrL._AC_UL320_.jpg,989,1,1.0,shirt
Men Shirt,Arrow,https://m.media-amazon.com/images/I/81fC+mjMPBL._AC_UL320_.jpg,989,1,4.0,shirt
Shirt for Men || Casual Shirt for Men || Men Stylish Shirt || Men Plain Shirt (Plain-01-10),Lymio,https://m.media-amazon.com/images/I/712DjG5irpL._AC_UL320_.jpg,499,230,4.3,shirt
